Date,series,OPEN,HIGH,LOW,PREV_CLOSE,LTP,close,vwap,52W H,52W L,VOLUME,VALUE,No of trades
15-Jan-21,EQ,"1,047.65","1,052.85",984,"1,027.70",989,989.8,"1,009.81","1,067.00",375.25,23769415,"24,00,26,97,489.25",463474
18-Jan-21,EQ,"1,000.00","1,004.95",976.9,989.8,978.1,981.5,990.09,"1,067.00",375.25,12947569,"12,81,92,40,554.90",256612
19-Jan-21,EQ,988,997,979.35,981.5,987,983.85,985.98,"1,067.00",375.25,6387923,"6,29,83,46,813.15",168528
20-Jan-21,EQ,991.75,"1,009.65",987.55,983.85,997.5,999.25,"1,001.18","1,067.00",375.25,7444118,"7,45,28,87,783.00",153672
21-Jan-21,EQ,"1,009.00","1,020.00",982.95,999.25,991.5,993.3,"1,003.92","1,067.00",375.25,8857975,"8,89,27,26,373.60",185089
22-Jan-21,EQ,991.7,"1,004.00",981.4,993.3,985.95,985.8,990,"1,067.00",375.25,5379466,"5,32,56,89,212.60",182218
25-Jan-21,EQ,997,997,941,985.8,948,947.5,966.54,"1,067.00",375.25,7731883,"7,47,31,44,666.95",325690
27-Jan-21,EQ,952.1,963.25,942.5,947.5,957.4,955.5,955.55,"1,067.00",375.25,7531736,"7,19,69,66,517.55",247705
28-Jan-21,EQ,948.8,952.4,930.1,955.5,932,933.95,941.03,"1,067.00",375.25,6960905,"6,55,04,46,434.55",191909
29-Jan-21,EQ,941,949.5,909.5,933.95,914.5,914,927.73,"1,067.00",375.25,7692663,"7,13,67,14,192.85",160581
01-Feb-21,EQ,919,933.75,896.35,914,932.1,928.35,915.3,"1,067.00",375.25,8651478,"7,91,86,81,533.35",208551
02-Feb-21,EQ,947,963,935.55,928.35,956.1,954.65,948.74,"1,067.00",375.25,7690178,"7,29,60,13,605.45",152162
03-Feb-21,EQ,966,973.3,952.55,954.65,961.95,959.9,964.84,"1,067.00",375.25,6354619,"6,13,11,62,758.05",142811
04-Feb-21,EQ,964.7,970.45,950.15,959.9,957,957.65,959.52,"1,067.00",375.25,4623148,"4,43,59,96,887.05",129604
05-Feb-21,EQ,960.8,963.9,940.05,957.65,947.85,946.15,949.12,"1,067.00",375.25,4631703,"4,39,60,26,613.25",104547
08-Feb-21,EQ,955,964.4,941.35,946.15,959.5,957.75,954.03,"1,067.00",375.25,6509526,"6,21,03,15,010.00",172264
09-Feb-21,EQ,965,981.9,946.6,957.75,955,951.6,966.24,"1,067.00",375.25,7557977,"7,30,27,90,839.05",147283
10-Feb-21,EQ,955.05,965.1,946.15,951.6,960.7,959.45,955.87,"1,067.00",375.25,4896963,"4,68,08,40,478.20",113186
11-Feb-21,EQ,959.45,972.5,953.05,959.45,972,970.4,964.93,"1,067.00",375.25,3745595,"3,61,42,39,422.25",107544
